,Relation,Count,Example 1,Example 2,Example 3
19,has direct substance,10330.0,"Skin flap -- has direct substance-> Local subcutaneous pedicle island flap, osseomyocutaneous (procedure)",Vaccine and biological substance (substance) -- has direct substance-> 1st hepatitis A junior vaccination,Anesthetic drugs (substance) -- has direct substance-> Ring block of second toe
20,interprets,77467.0,DO2 - Oxygen delivery -- interprets-> Cyanotic congenital heart disease NOS,Ability to manage medication (observable entity) -- interprets-> Premedication deliberately omitted,Ability to use words -- interprets-> Difficulty using words
24,has basis of strength substance,771.0,Atorvastatin -- has basis of strength substance-> Atorvastatin (as atorvastatin calcium) 40 mg oral tablet,Micafungin -- has basis of strength substance-> Micafungin 50mg powder for injection solution vial,Rivastigmine product -- has basis of strength substance-> Product containing precisely rivastigmine (as rivastigmine tartrate) 6 milligram/1 each conventional release oral capsule (clinical drug)
25,has precise active ingredient,5932.0,Product containing amitriptyline (medicinal product) -- has precise active ingredient-> Product containing precisely amitriptyline 25 milligram and perphenazine 4 milligram/1 each conventional release oral tablet,ISDN - isosorbide dinitrate -- has precise active ingredient-> Isosorbide dinitrate 10 mg/10 mL solution for injection ampule,Pantoprazole sodium -- has precise active ingredient-> Pantoprazole sodium 40mg tablet (product)
26,dose form of,28211.0,Rectal Aspirin (product) -- dose form of-> Rectal dosage form (product),Ropinirole 0.25mg tablet (product) -- dose form of-> Tablet (basic dose form),Mestranol- and norethisterone-containing product in oral dose form -- dose form of-> Oral dosage form (product)
28,refers to,1053.0,"Open greenstick fracture (morphologic abnormality) -- refers to-> Fracture, open, incomplete",Assessment of mobility (procedure) -- refers to-> Finding of mobility (finding),Finding of response to pain (finding) -- refers to-> Finding of response to pain (finding)
29,role played by,8147.0,Methenamine mandelate 0.5 gram/1 each oral tablet -- role played by-> Antibacterial therapeutic role (role),Product containing only vandetanib (medicinal product) -- role played by-> Antineoplastic therapeutic role,Product containing only dirithromycin in oral dose form (medicinal product form) -- role played by-> Antibacterial therapeutic role (role)
31,cause of,18439.0,Sprain dorsal intercarpal ligament -- cause of-> Traumatic event,Irradiation hypothyroidism -- cause of-> Exposure to ionising radiation,Contusion of foot -- cause of-> Traumatic event
37,definitional manifestation of,9713.0,Excessive vasoactive intestinal peptide secretion -- definitional manifestation of-> D - Diarrhea,IgG monoclonal gammopathy of uncertain significance -- definitional manifestation of-> Serum gamma globulin raised (finding),Epilepsy in mother complicating pregnancy (disorder) -- definitional manifestation of-> [D]Convulsion NOS (situation)
38,realization of,1550.0,Allergy to octreotide (finding) -- realization of-> Allergic process (qualifier value),Oxitropium allergy (disorder) -- realization of-> Allergic process (qualifier value),Sulfaguanidine allergy -- realization of-> Allergic process (qualifier value)
39,occurs before,5629.0,Triamcinolone allergy (disorder) -- occurs before-> Allergic sensitization (finding),Dysarthria as late effect of embolic cerebrovascular accident -- occurs before-> apoplexy; embolic,Kaolin allergy -- occurs before-> Allergic sensitization (finding)
45,associated with,5836.0,BMS - Bare metal stent -- associated with-> Bare metal stent in anterior descending branch of left coronary artery (finding),Oral hairy leukoplakia associated with HIV disease (disorder) -- associated with-> Immunodeficiency disorder,Nail dystrophy due to Darier disease -- associated with-> SKIN DISORDER
46,was a,13758.0,Abortion with complication (disorder) -- was a-> Legal termination of pregnancy with complication,PERIPHERAL NERVE DISORDERS -- was a-> Other specified disorders of peripheral nervous system,Arthrodesis NOS (procedure) -- was a-> Revision of arthrodesis and articular bone graft NEC (procedure)
54,technique of,464.0,Galactose measured intake in 24 hours -- technique of-> Measurement (qualifier value),Measured quantity of intake of phosphorus in 24 hours (observable entity) -- technique of-> Measurement (qualifier value),Estimated quantity of intake of carbohydrate per kilogram body weight in 24 hours (observable entity) -- technique of-> Estimation technique (qualifier value)
58,direct substance of,10330.0,Repair of nonunion of tibia with iliac autograft (procedure) -- direct substance of-> Autogenous bone graft material (substance),Internal carotid angiogram -- direct substance of-> Radiographic contrast media,Local anesthetic ankle block -- direct substance of-> Anesthetic drugs (substance)
59,focus of,6638.0,Anesthesia for pneumocentesis -- focus of-> Pneumocentesis (procedure),Discussion about anticoagulation therapy (procedure) -- focus of-> Anticoagulant therapy,Urethroplasy with skin graft for second stage hypospadias repair -- focus of-> Hypospadias
66,has finding site,232785.0,Digestive organ structure -- has finding site-> Lateral openbite - right (disorder),Endocrine testis (body structure) -- has finding site-> Other iatrogenic postablative testicular hypofunction (disorder),Skin -- has finding site-> Pigmentation due to diet
67,has direct procedure site,15510.0,Structure of blood vessel of thoracic cross-sectional segment of trunk (body structure) -- has direct procedure site-> Computed tomography angiography of thorax with contrast,Lower respiratory structure -- has direct procedure site-> Diagnostic fibreoptic endoscopic examination of lower respiratory tract and lavage of lesion of lower respiratory tract,Thoracic vertebral column region -- has direct procedure site-> X-ray of thoracic spine using mobile image intensifier (procedure)
